"Timestamp","What is your current role?","Do you prefer to do hands-on session or more of theory with Q&A?
Note: With hands-on session, we might not be able to cover all topics","How familiar are you with Databricks?","Exercise:
The most interesting city that you have visited and rate it as per scale of 1 to 5.

1: Lowest
5: Highest

Sample response: Amsterdam - 5"
"2024/04/16 12:23:52 AM GMT+2","Data Engineer","Hands-on session","I can setup production ready Databricks workspaces","Stockholm - 5"
